job_role,job_description
Data Scientist,"Python, machine learning, statistics, data analysis, pandas, numpy, scikit-learn, deep learning, tensorflow, pytorch, data visualization, SQL, big data, spark, hadoop"
Machine Learning Engineer,"Machine learning, deep learning, tensorflow, pytorch, model deployment, Python, scikit-learn, keras, MLOps, model optimization, feature engineering, algorithm development"
Data Analyst,"SQL, Excel, Power BI, Tableau, data visualization, statistics, data manipulation, pandas, python, Excel VBA, data storytelling, business intelligence, analytics"
Web Developer,"HTML, CSS, JavaScript, React, Vue, Angular, Flask, REST APIs, responsive design, web performance, webpack, npm, git, responsive CSS"
Backend Developer,"Python, Flask, Django, FastAPI, APIs, databases, SQL, NoSQL, MongoDB, PostgreSQL, MySQL, microservices, REST, GraphQL, authentication, authorization"
DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD, Linux, Jenkins, Terraform, Ansible, Infrastructure as Code, monitoring, logging, CloudWatch, ELK stack, bash scripting"
Full Stack Developer,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, PostgreSQL, Flask, Django, REST APIs, Git, Docker, AWS, responsive design"
Frontend Developer,"JavaScript, React, Vue, Angular, TypeScript, HTML, CSS, responsive design, web performance, Redux, state management, testing, Jest, Cypress, accessibility"
Mobile Developer,"React Native, Flutter, Swift, Kotlin, Android, iOS, Java, Objective-C, Xamarin, app deployment, mobile UI/UX, mobile testing, Firebase, push notifications"
Database Administrator,"SQL, MySQL, PostgreSQL, Oracle, MongoDB, backup strategies, database optimization, performance tuning, replication, security, indexing, query optimization, data governance"
Systems Administrator,"Linux, Windows, Active Directory, LDAP, system monitoring, user management, network configuration, security updates, virtualization, VMware, Hyper-V, troubleshooting"
Cloud Architect,"AWS, Azure, GCP, cloud design patterns, scalability, high availability, cost optimization, security best practices, infrastructure planning, cloud migration, compliance"
Security Engineer,"Penetration testing, vulnerability assessment, network security, encryption, firewalls, intrusion detection, security audit, OWASP, secure coding, threat modeling, incident response, cybersecurity"
QA Engineer,"Selenium, Cypress, test automation, manual testing, bug tracking, JIRA, performance testing, API testing, postman, testing frameworks, quality assurance, regression testing, test case design"
Product Manager,"Product strategy, roadmap planning, user research, analytics, market research, agile, scrum, cross-functional leadership, competitive analysis, business acumen, stakeholder management"
Data Engineer,"Python, Scala, Java, SQL, Apache Spark, Hadoop, Kafka, ETL, data pipelines, data warehousing, big data technologies, distributed systems, cloud platforms, data modeling"
Solutions Architect,"system design, cloud architecture, AWS, Azure, scalability, requirements analysis, technical documentation, problem solving, stakeholder communication, enterprise solutions"
Network Engineer,"Cisco, networking protocols, TCP/IP, routing, switching, firewall configuration, VPN, MPLS, network monitoring, WAN, LAN, network security, troubleshooting"
Business Analyst,"requirements gathering, business process analysis, SQL, Excel, data analysis, stakeholder communication, JIRA, documentation, user stories, use cases, agile, data visualization"
Scrum Master,"Agile, Scrum, sprint planning, backlog management, team coordination, impediment removal, stakeholder communication, process improvement, servant leadership, conflict resolution"
UX/UI Designer,"Figma, Adobe XD, Sketch, user research, wireframing, prototyping, interaction design, visual design, usability testing, design systems, CSS, HTML, user empathy, accessibility"
Cybersecurity Analyst,"penetration testing, malware analysis, vulnerability assessment, network monitoring, security tools, Wireshark, Nmap, ethical hacking, threat intelligence, incident response, risk assessment"
Software Architect,"system design, architectural patterns, microservices, scalability, performance optimization, technology selection, design documentation, cross-team communication, code quality"
IT Support,"troubleshooting, customer service, helpdesk, ticketing systems, hardware support, software installation, network connectivity, user training, documentation, technical support"
Blockchain Developer,"Solidity, smart contracts, Ethereum, Bitcoin, cryptocurrency, web3, NFT development, blockchain architecture, consensus mechanisms, cryptography, distributed ledgers"
AI/ML Engineer,"Machine learning, deep learning, Python, TensorFlow, PyTorch, neural networks, computer vision, NLP, model training, data preprocessing, big data, distributed computing"
Cloud Engineer,"AWS, Azure, GCP, containerization, Docker, Kubernetes, Infrastructure as Code, Terraform, cloud security, cloud cost management, automation, DevOps"
API Developer,"REST APIs, GraphQL, API design, Flask, Django, FastAPI, authentication, documentation, API testing, performance optimization, Swagger, OpenAPI"
Database Developer,"SQL, stored procedures, query optimization, database design, normalization, indexing, replication, backup strategies, performance tuning, database security"
Performance Engineer,"load testing, JMeter, performance profiling, optimization, bottleneck analysis, scalability testing, monitoring tools, code optimization, infrastructure tuning"
Test Automation Engineer,"Selenium, Cypress, Python, Java, test frameworks, continuous integration, CI/CD, automated testing, API testing, performance testing, JIRA, agile"
Embedded Systems Engineer,"C, C++, ARM, microcontrollers, IoT, firmware development, hardware interfacing, RTOS, debugging, low-level programming, electronics knowledge"
Java Developer,"Java, Spring Framework, Maven, RESTful APIs, microservices, SQL, databases, JUnit, testing, object-oriented design, design patterns, enterprise applications"
C++ Developer,"C++, STL, memory management, multithreading, design patterns, performance optimization, debugging, game development, system programming, Qt framework"
